X,Y,Pressure,Duration,Orientation,Size
0.50127715,0.49821034,0.5,0.22297297,0.00011327293,0.80453396
0.50474423,0.4826663,0.5,0.10810811,0.002169196,0.8063442
1.0,0.34657487,0.5,0.006756757,0.54435194,0.8347371
0.5,0.5,0.5,0.19594595,0.0,0.8347371
0.3748273,0.8067808,0.5,0.006756757,0.6199461,0.8670729
0.4976018,0.49230045,0.5,0.12162162,0.0008584055,0.8678788
0.26388174,0.2025826,0.5,0.006756757,0.6281763,0.9006439
0.5,0.5,0.5,0.4391892,0.0,0.9006439
0.7376281,0.8788251,0.5,0.006756757,0.78265154,0.9414662
0.5001665,0.49815986,0.5,0.11486486,0.00021526201,0.94165707
0.50083077,0.48788393,0.5,0.0945946,0.0017204663,0.9429134
0.48695183,0.29442,0.5,0.006756757,0.40866074,0.96422875
0.5,0.5,0.5,0.3243243,0.0,0.96422875
0.40631488,0.53292173,0.5,0.006756757,0.1068619,0.96980256
0.5,0.5,0.5,0.39864865,0.0,0.96980256
0.5929633,0.6427777,0.5,0.006756757,0.29583338,0.98523295
0.5,0.5,0.5,0.3310811,0.0,0.98523295
0.55792135,0.5019664,0.5,0.006756757,0.052388318,0.98796546
0.5,0.5,0.5,0.4189189,0.0,0.98796546
0.4923918,0.4220065,0.5,0.006756757,0.15512641,0.99605674
0.5,0.5,0.5,0.3310811,0.0,0.99605674
0.48028558,0.4630199,0.5,0.006756757,0.07560102,1.0
0.5,0.5,0.5,0.11486486,0.0,1.0
0.5,0.5,0.5,0.3445946,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
