X,Y,Pressure,Duration,Orientation,Size
0.5,0.5,0.5,0.5,0,0.38187152383366985
0.7534097244587298,0.5027013299797427,0.5,0.01,0.3283833236813153,0.39786936323171707
0.5,0.5,0.5,0.35,0,0.39786936323171707
0.3565623044634712,0.5038462765572188,0.5,0.01,0.18600809485211386,0.40693111336817867
0.5,0.5,0.5,0.47,0,0.40693111336817867
0.4749345064922285,0.853015335963646,0.5,0.01,0.7043001669665265,0.44124248104920893
0.5011189314933385,0.47925898730896577,0.5,0.01,0.04136174965397146,0.44325750002388936
0.49908925316643143,0.4673580750865401,0.5,0.04,0.016266315877509745,0.44642728229040723
0.4907667044931208,0.45420957633196435,0.5,0.15,0.006136001420444591,0.4509111929304186
0.479855255957934,0.44622398221552606,0.5,0.16,0.006894179022907817,0.4562850087529005
0.49349104881552325,0.4857641648958956,0.5,0.17,0.0017410935974113795,0.45772696232841636
0.5,0.5,0.5,0.53,0,0.45772696232841636
0.7169180771849917,0.39441527055108794,0.5,0.01,0.3511028053981655,0.47483162595748263
0.49775683413069227,0.5044369250412306,0.5,0.18,0.0005171157737554757,0.4752850875709042
0.49198399515595626,0.5178530013794701,0.5,0.14,0.0026475367965013773,0.4770908070329782
0.4874712187789587,0.5261003364528037,0.5,0.17,0.0032053831045939776,0.4797454682386936
0.48093625323385714,0.5332930868180087,0.5,0.17,0.004164751360365288,0.48319466713537657
0.4712667723723443,0.5347752271181172,0.5,0.16,0.004917030780291819,0.4870273523208011
0.4472178740264413,0.5349756683731491,0.5,0.17,0.005744241973624241,0.4917846670710307
0.5003427104191387,0.49980787518207326,0.5,0.15,0.00003908897132236607,0.49181323151266126
0.6408183273577831,0.2502202116941505,0.5,0.01,0.5301887601775592,0.5176424196117554
0.5046203923328411,0.5149343099753848,0.5,0.28,0.0010842788126431266,0.5191214573021032
0.503111117509716,0.5067325489773882,0.5,0.17,0.0008241315330648265,0.5198039935038129
0.500533683968616,0.5010004069005863,0.5,0.15,0.00014068622882711825,0.5199068005983873
0.5,0.5,0.5,0.01,0,0.5199068005983873
0.38740812610478176,0.6014150493338609,0.5,0.01,0.24926612575212306,0.5320502901107411
0.5125124771827776,0.4860308352318751,0.5,0.36,0.0008949073255841143,0.5336197882398547
0.43975053146861964,0.7145681599308314,0.5,0.01,0.43469610636056366,0.5547968639163942
0.42457769342886553,0.2943802659112721,0.5,0.01,0.42128605225639115,0.5753206424355973
0.5576278791890766,0.7261141266176037,0.5,0.01,0.45678398934575826,0.5975737727688676
0.5013235808980213,0.45713538963037065,0.5,0.16,0.005340333557258321,0.6017364103899635
0.5111412633741084,0.6122464677445475,0.5,0.01,0.22416975529238312,0.6126572808618983
0.441920480344412,0.18697505325921926,0.5,0.01,0.6283734347558444,0.6432697284689488
0.5165286199948027,0.5377351831710393,0.5,0.32,0.002443597651097065,0.6470791577505535
0.5181525347674313,0.5606484794755624,0.5,0.15,0.008209201842252893,0.6530780689248296
0.5116352222395083,0.6295775900144691,0.5,0.17,0.015216743700116803,0.6656804000222009
0.49974992721909883,0.4936605765649758,0.5,0.15,0.0008425647148297584,0.6662961079777329
0.5148133933045943,0.37838417372946387,0.5,0.01,0.24313614557548865,0.6781409634508192
0.5002924260671755,0.5141495256077463,0.5,0.2,0.0014101102716834219,0.6795148893497982
0.4837201270654408,0.733369386348251,0.5,0.01,0.46557758830615126,0.7021964171495481
0.5145986032997931,0.45040488196027195,0.5,0.32,0.003144858525891598,0.7070990721139024
0.5073504698156316,0.49909305473168225,0.5,0.01,0.00969389915518302,0.7075713294748638
0.4841479394474996,0.5534674930886627,0.5,0.01,0.10852082882636806,0.7128581350636641
0.48071527653265345,0.18400962347860234,0.5,0.01,0.6302566354679275,0.7435623264968275
0.5391110387107408,0.5701451248516461,0.5,0.01,0.14869890255388754,0.7508064859597836
0.8029087032235456,0.37820785014203717,0.5,0.01,0.46146865835928574,0.7732878391567222
0.5,0.5,0.5,0.28,0,0.7732878391567222
0.33786464266490507,0.501056913310518,0.5,0.01,0.21008691716087805,0.7835226364743602
0.5,0.5,0.5,0.38,0,0.7835226364743602
0.41495804338330144,0.48305825331534763,0.5,0.01,0.11524472190337721,0.789137009737334
0.5,0.5,0.5,0.32,0,0.789137009737334
0.3011471577142185,0.4970933749901148,0.5,0.01,0.2577157658704211,0.8016921400847596
0.5,0.5,0.5,1,0,0.8016921400847596
0.8172704444325001,0.4825590402771097,0.5,0.01,0.4125495059710171,0.8217903005707441
0.5,0.5,0.5,0.65,0,0.8217903005707441
