X,Y,Pressure,Duration,Orientation,Size
0.41325742,0.81741184,0.5,0.0,0.06145581,0.0
0.5734848,0.710902,0.5,0.0,0.09574913,0.03175478
0.39431804,0.86854905,0.5,0.0,0.12420028,0.07294549
0.4897726,1.0,0.5,0.0,0.28235555,0.16658784
0.45719686,0.68423533,0.5,0.0,0.11334539,0.20417856
0.0,0.0,0.5,0.0,1.0,0.5358258
0.47121203,0.7745882,0.5,0.29411763,0.0,0.5358258
0.47121203,0.7745882,0.5,1.0,0.0,0.5358258
0.47121203,0.7745882,0.5,0.0,0.0,0.5358258
0.62234837,0.9854119,0.5,0.0,0.27531374,0.62713283
0.47121203,0.7745882,0.5,0.0,0.0,0.62713283
0.47121203,0.7745882,0.5,0.014705881,0.0,0.62713283
1.0,0.80407846,0.5,0.0,0.2766149,0.71887136
0.47121203,0.7745882,0.5,0.9264705,0.0,0.71887136
0.47121203,0.7745882,0.5,0.20588233,0.0,0.71887136
0.37234843,0.8313726,0.5,0.0,0.08763824,0.7479364
0.47121203,0.7745882,0.5,0.9264705,0.0,0.7479364
0.12537864,0.9367844,0.5,0.0,0.27087897,0.8377726
0.5485721,0.7306023,0.5,0.42647058,0.0022707589,0.86036533
0.5620337,0.9337114,0.5,0.0,0.2046942,0.9282517
0.47121203,0.7745882,0.5,0.0,0.0,0.9282517
0.59128773,0.7530981,0.5,0.0,0.06781578,0.9507425
0.47121203,0.7745882,0.5,0.014705881,0.0,0.9507425
0.5109848,0.657098,0.5,0.0,0.14852352,1.0
0.47121203,0.7745882,0.5,0.7058824,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
