X,Y,Pressure,Duration,Orientation,Size
0.5,0.5,0.5,1,0,0
0.49765834234293604,0.5012513731376683,0.5,0.03195488721804511,0.00018223231261730403,0.000233521747770945
0.49951361768984126,0.5003058858439154,0.5,0.03007518796992481,0.000044811515758558944,0.0002875676338349657
0.4994642198284526,0.5009650350608654,0.5,0.03195488721804511,0.00011419194574809165,0.00043389899718905816
0.5000493978613886,0.5003700616908846,0.5,0.03571428571428571,0.000038252018844156764,0.0004886839114659884
0.5,0.5004048636140017,0.5,0.02631578947368421,0.00005670997701012293,0.0005485306560195313
0.5018400798211622,0.5012759799875585,0.5,0.03383458646616541,0.00016167327852751036,0.0007678938570484723
0.5022010662132016,0.5002718902496686,0.5,0.02819548872180451,0.00012370679490934618,0.0009077681288282667
0.5037571061426632,0.5003004205924967,0.5,0.039473684210526314,0.00014716752080127027,0.0011407297033603728
0.5021288677674784,0.5,0.5,0.022556390977443608,0.0001432543229842521,0.0012703109062128987
0.5074021150057341,0.5005006881695493,0.5,0.03571428571428571,0.00031880437908387015,0.0017269056457056553
0.5015180409010962,0.5,0.5,0.02631578947368421,0.00008755797996248753,0.0018193066717103717
0.5021887160182824,0.5,0.5,0.03195488721804511,0.00010396347586106425,0.0019525307538653433
0.5004863852284468,0.5,0.5,0.03571428571428571,0.000020671265832407294,0.0019821363422981497
0.5002384387230316,0.5,0.5,0.02819548872180451,0.000012835885201678168,0.0019966497738081123
0.5,0.5,0.5,0.16165413533834586,0,0.0019966497738081123
0.5,0.5,0.5,0.09022556390977443,0,0.0019966497738081123
0.5,0.5,0.5,0.21804511278195488,0,0.0019966497738081123
0.5001263472800154,0.5002002675770525,0.5,0.3101503759398496,0.0000024591622389852663,0.0020272358770517013
0.5008720661737484,0.5004299114813218,0.5,0.03571428571428571,0.00005781408796063466,0.0021100377774122127
0.5033837666374167,0.5015729181045471,0.5,0.10902255639097744,0.00007104626462091998,0.0024206526647948447
0.5,0.5,0.5,0.21428571428571427,0,0.0024206526647948447
0.5,0.5,0.5,0.49624060150375937,0,0.0024206526647948447
0.5058916762449414,0.5052256744079612,0.5,0.05639097744360902,0.00037660270684083556,0.0032722959299568543
0.5054109904330062,0.5060040845917204,0.5,0.02819548872180451,0.0008372422784716908,0.00421895899798236
0.5030075876379224,0.5042461915199613,0.5,0.03195488721804511,0.0005102202252997593,0.004872781127816712
0.5009195613113451,0.5021995762335774,0.5,0.03007518796992481,0.0002735517296253723,0.005202704036285277
0.4999696031119381,0.5003997660773883,0.5,0.043233082706766915,0.00003410119769432501,0.005261826223577458
0.5,0.5,0.5,0.12030075187969924,0,0.005261826223577458
0.5,0.4980468623834949,0.5,0.06015037593984962,0.0001196910358348344,0.0055505380859687025
0.4997568073857766,0.4985632481298433,0.5,0.03007518796992481,0.00017651958664350727,0.005763433305117384
0.49644998724869865,0.49755204082727583,0.5,0.03195488721804511,0.0003288963271053562,0.006184897775594582
0.49617924891381315,0.4980808952298953,0.5,0.02819548872180451,0.00032442563100531146,0.006551723210824896
0.49861589976435855,0.4991949665433336,0.5,0.03383458646616541,0.00010745896992163774,0.006697526795906967
0.498186523292468,0.498880060871549,0.5,0.03007518796992481,0.0001649777088206907,0.006896501686693231
0.49876124509941266,0.49918480752057776,0.5,0.03195488721804511,0.0001109270544941811,0.007038649252448835
0.49964756419187206,0.49955013938965404,0.5,0.03383458646616541,0.00005149707999548632,0.007108522050318343
0.49939202138272953,0.4993807862932518,0.5,0.02631578947368421,0.0000935551091382987,0.007207251921382815
