X,Y,Pressure,Duration,Orientation,Size
0.8065967,0.77300715,0.5,0.0,0.5,0.5
0.78960514,0.8161011,0.5,0.0,0.5,0.5
0.8350825,0.85035515,0.5,0.0,0.5,0.5
0.5312344,1.0,0.5,0.0,0.5,0.5
0.5312344,1.0,0.5,0.13513514,0.5,0.5
0.5312344,1.0,0.5,0.43243244,0.5,0.5
0.5312344,1.0,0.5,0.8738739,0.5,0.5
0.85807085,0.532281,0.5,0.0,0.5,0.5
0.85807085,0.532281,0.5,0.24324325,0.5,0.5
0.83384275,0.5694406,0.5,0.35135138,0.5,0.5
0.0,0.0,0.5,0.0,0.5,0.5
0.0,0.0,0.5,0.7387387,0.5,0.5
0.8745626,0.34901345,0.5,0.0,0.5,0.5
0.8745626,0.34901345,0.5,0.16216217,0.5,0.5
0.8745626,0.34901345,0.5,0.8828829,0.5,0.5
0.80409783,0.4400947,0.5,0.0,0.5,0.5
0.80409783,0.4400947,0.5,0.67567563,0.5,0.5
0.7756121,0.5635359,0.5,0.0,0.5,0.5
0.7756121,0.5635359,0.5,0.19819821,0.5,0.5
0.77911043,0.5635359,0.5,0.5225225,0.5,0.5
0.78510743,0.5635359,0.5,0.78378373,0.5,0.5
0.78510743,0.5635359,0.5,0.7927928,0.5,0.5
0.7286357,0.6080505,0.5,0.0,0.5,0.5
0.7286357,0.6080505,0.5,0.0,0.5,0.5
0.7286357,0.6080505,0.5,0.24324325,0.5,0.5
0.7286357,0.6033679,0.5,0.3693694,0.5,0.5
0.73618066,0.5852703,0.5,0.4864865,0.5,0.5
0.8450774,0.52533543,0.5,0.0,0.5,0.5
0.7921038,0.5385951,0.5,0.0,0.5,0.5
0.7921038,0.5385951,0.5,0.24324325,0.5,0.5
0.7921038,0.5385951,0.5,0.7207207,0.5,0.5
1.0,0.4552486,0.5,0.0,0.5,0.5
1.0,0.4552486,0.5,0.009009009,0.5,0.5
0.94075215,0.48985055,0.5,0.22522523,0.5,0.5
0.90804595,0.7116022,0.5,0.0,0.5,0.5
0.90804595,0.70751774,0.5,0.14414415,0.5,0.5
0.8792263,0.6520392,0.5,0.2972973,0.5,0.5
0.88405794,0.5248619,0.5,0.0,0.5,0.5
0.88405794,0.5248619,0.5,0.19819821,0.5,0.5
0.88405794,0.5248619,0.5,0.35135138,0.5,0.5
0.88405794,0.5289007,0.5,0.5315315,0.5,0.5
0.88405794,0.5314917,0.5,0.7027027,0.5,0.5
0.88405794,0.5314917,0.5,0.8378379,0.5,0.5
0.88405794,0.5314917,0.5,1.0,0.5,0.5
0.8865566,0.4424625,0.5,0.0,0.5,0.5
0.8865566,0.4424625,0.5,0.27027026,0.5,0.5
0.8865566,0.4424625,0.5,0.59459454,0.5,0.5
0.8865566,0.4424625,0.5,0.6396396,0.5,0.5
0.73263365,0.5641673,0.5,0.0,0.5,0.5
0.73263365,0.5641673,0.5,0.6486487,0.5,0.5
